Date,Price,Open,High,Low,Vol.,Change %,50_days_MA,200_days_MA,365_days_MA,500_days_MA
2019-07-06,169.5,169.9,171.7,167.25,14.47M,-0.12%,150.709,149.1995,133.26657534246576,172.71710000000002
2019-06-06,169.7,174.05,175.85,168.85,16.87M,-2.05%,151.68699999999998,149.694,133.26013698630138,172.3446
2019-04-06,173.25,174.25,177.2,172.4,17.43M,-0.72%,152.725,150.209,133.26712328767124,171.9896
2019-03-06,174.5,170.5,175.0,168.4,21.29M,1.10%,153.797,150.73875,133.2819178082192,171.6491
2019-05-31,172.6,177.8,177.85,170.0,21.49M,-1.46%,154.81,151.27075,133.29465753424657,171.3076
2019-05-30,175.15,177.5,178.5,173.1,18.08M,-0.68%,155.87199999999999,151.76,133.29917808219176,170.95239999999998
2019-05-29,176.35,179.85,180.0,175.35,15.22M,-2.16%,156.918,152.277,133.3494520547945,170.6141
2019-05-28,180.25,181.35,185.3,179.8,23.27M,-0.61%,158.175,152.80075,133.44232876712329,170.30470000000003
2019-05-27,181.35,181.75,183.5,179.3,14.77M,-0.52%,159.35199999999998,153.31775000000002,133.5249315068493,170.0161
2019-05-24,182.3,177.0,183.5,175.35,22.49M,4.08%,160.523,153.8145,133.6108219178082,169.7347
2019-05-23,175.15,182.85,182.85,173.5,22.91M,-2.21%,161.412,154.2415,133.69068493150684,169.44879999999998
2019-05-22,179.1,177.6,180.4,174.8,25.85M,1.30%,162.403,154.697,133.7950684931507,169.1695
2019-05-21,176.8,185.25,186.9,174.05,57.82M,-7.02%,163.227,155.0865,133.8986301369863,168.8856
2019-05-20,190.15,181.45,192.0,179.25,29.87M,7.52%,164.361,155.50875,134.04246575342466,168.62869999999998
2019-05-17,176.85,174.95,177.7,170.2,21.58M,0.83%,165.14700000000002,155.822,134.15465753424658,168.35139999999998
2019-05-16,175.4,176.0,177.55,172.8,30.31M,3.51%,165.71200000000002,156.07025000000002,134.26780821917808,168.0717
2019-05-15,169.45,185.55,185.95,167.4,31.43M,-8.16%,166.215,156.2865,134.36808219178081,167.7869
2019-05-14,184.5,178.25,186.05,177.8,21.41M,2.07%,166.88,156.55724999999998,134.51013698630138,167.5297
2019-05-13,180.75,186.2,187.15,179.6,15.37M,-2.77%,167.37099999999998,156.834,134.64397260273972,167.27579999999998
2019-10-05,185.9,187.0,190.6,184.3,28.91M,-0.24%,167.954,157.11875,134.78397260273974,167.01870000000002
2019-09-05,186.35,184.3,189.8,182.3,32.84M,0.68%,168.58399999999997,157.32425,134.92287671232876,166.7265
2019-08-05,185.1,190.0,190.9,183.8,28.44M,-3.06%,169.071,157.52700000000002,135.063698630137,166.4545
2019-07-05,190.95,201.7,202.85,189.35,30.52M,-4.43%,169.532,157.73225,135.21150684931507,166.21189999999999
2019-06-05,199.8,204.0,204.5,198.0,30.12M,-4.61%,170.128,157.978,135.3931506849315,165.9595
2019-03-05,209.45,205.0,213.65,203.05,37.15M,1.04%,171.09799999999998,158.23275,135.61013698630137,165.7473
2019-02-05,207.3,211.0,212.65,206.5,21.99M,-3.27%,172.058,158.47899999999998,135.82287671232876,165.53220000000002
2019-04-30,214.3,216.2,218.65,210.3,21.29M,-0.60%,173.20800000000003,158.7425,136.0586301369863,165.35530000000003
